"original_address,lat,lon,formatted,name,street,postcode,district,suburb,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url"
"MZ Aleksandrovo	 ,46.06342005,19.69614249349785,""?? ????????????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ????????????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Bajmok	 ,46.086422,19.6410156,""Mali Bajmok, City of Subotica, Vojvodina, Serbia"",Mali Bajmok,,24107,Subotica,Mali Bajmok,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Bajnat	 ,46.089530350000004,19.679993383617415,""?? ??????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ??????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Backi Vinogradi	 ,46.1233884,19.8564574,""Backi Vinogradi, 24415 City of Subotica, Serbia"",Backi Vinogradi,,24415,,,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Backo Dušanovo	 ,45.9051649,19.7850449,""Backo Dusanovo, 24220 City of Subotica, Serbia"",Backo Dusanovo,,24220,,,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Bikovo	,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Centar I	 ,46.1034818,19.6665785293586,""?? ?????? I, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ?????? I,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Centar II	 ,46.099647149999996,19.658463563807977,""?? ?????? II, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ?????? II,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Centar III	 ,46.09439215,19.666053153997687,""?? ?????? III, City of Subotica, Vojvodina, Serbia"",,,24000,Subotica,?? ?????? III,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Cantavir	 ,45.9218656,19.7627015,""Cantavir, 24220 City of Subotica, Serbia"",Cantavir,,24220,,,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Dudova šuma	,46.11032415,19.654912017662248,""?? ?????? ????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ?????? ????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Ðurdin	 ,45.945663,19.5389124,""Ðurdin, City of Subotica, Vojvodina, Serbia"",Ðurdin,,,,,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Gat	,46.09082615,19.65569766842559,""?? ???, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ???,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Hajdukovo	 ,46.1066044,19.8219481,""Hajdukovo, 24414 City of Subotica, Serbia"",Hajdukovo,,24414,,,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Kelebija	 ,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Ker	 ,46.081910699999995,19.66430893608969,""?? ???, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ???,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Kertvaroš	,46.10684175,19.68200792065834,""?? ?????????, City of Subotica, Vojvodina, Serbia"",,,24105,Subotica,?? ?????????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Ljutovo	,46.0657925,19.5259623,""Ljutovo, 24215 City of Subotica, Serbia"",Ljutovo,,24215,,,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Makova sedmica	,46.1522597,19.67003698991808,""?? ?????? ???????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ?????? ???????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Mala Bosna	,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Mali Bajmok	 ,46.0728407,19.628430135529225,""?? ???? ??????, City of Subotica, Vojvodina, Serbia"",,,24107,Subotica,?? ???? ??????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Mali Radanovac,46.11673665,19.698437103988134,""?? ???? ?????????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ???? ?????????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Mišicevo	 ,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Novi grad	 ,46.0879259,19.716547919027605,""?? ???? ????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ???? ????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Novi Žednik	 ,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Novo Selo	 ,46.100381,19.63834097236864,""?? ???? ????, City of Subotica, Vojvodina, Serbia"",,,71210,Subotica,?? ???? ????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Palic	 ,46.1143455,19.76213229223572,""?? ?????, City of Subotica, Vojvodina, Serbia"",,,24413,?????,?? ?????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Pešcara	 ,46.1056459,19.60513436724461,""?? ???????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ???????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Prozivka	 ,46.0857718,19.675286437974144,""?? ????????, City of Subotica, Vojvodina, Serbia"",,,24117,Subotica,?? ????????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Radanovac	 ,46.117377250000004,19.725359798360046,""?? ?????????, City of Subotica, Vojvodina, Serbia"",,,24108,Subotica,?? ?????????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Stari Žednik	 ,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Šupljak	,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Tavankut	,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Verušic	,45.99943195,19.665100597607545,""?? ???????, City of Subotica, Vojvodina, Serbia"",,,,????? ??????,?? ???????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Višnjevac	,45.9513874,19.7439629,""Višnjevac, 24222 City of Subotica, Serbia"",Višnjevac,,24222,,,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Zorka	,46.129924900000006,19.6373812285265,""?? ?????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ?????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Željeznicko naselje	 ,46.1277297,19.661568514143674,""?? ?????????? ??????, City of Subotica, Vojvodina, Serbia"",,,24110,Subotica,?? ?????????? ??????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
